2026-03-20 15:50:57 status unpacked libunistring2:armhf 1.0-2
2026-03-20 15:50:57 install libuuid1:armhf <none> 2.38.1-5+deb12u3
2026-03-20 15:50:57 status half-installed libuuid1:armhf 2.38.1-5+deb12u3
2026-03-20 15:50:57 status unpacked libuuid1:armhf 2.38.1-5+deb12u3
2026-03-20 15:50:58 install libxxhash0:armhf <none> 0.8.1-1
2026-03-20 15:50:58 status half-installed libxxhash0:armhf 0.8.1-1
2026-03-20 15:50:58 status unpacked libxxhash0:armhf 0.8.1-1
2026-03-20 15:50:58 install libzstd1:armhf <none> 1.5.4+dfsg2-5
2026-03-20 15:50:58 status half-installed libzstd1:armhf 1.5.4+dfsg2-5
2026-03-20 15:50:58 status unpacked libzstd1:armhf 1.5.4+dfsg2-5
2026-03-20 15:50:58 install login:armhf <none> 1:4.13+dfsg1-1+deb12u2
2026-03-20 15:50:58 status half-installed login:armhf 1:4.13+dfsg1-1+deb12u2
2026-03-20 15:50:59 status unpacked login:armhf 1:4.13+dfsg1-1+deb12u2
2026-03-20 15:50:59 install logsave:armhf <none> 1.47.0-2+b2
2026-03-20 15:50:59 status half-installed logsave:armhf 1.47.0-2+b2
2026-03-20 15:51:00 status unpacked logsave:armhf 1.47.0-2+b2
2026-03-20 15:51:00 upgrade mawk:armhf 1.3.4.20200120-3.1 1.3.4.20200120-3.1
2026-03-20 15:51:00 status half-configured mawk:armhf 1.3.4.20200120-3.1
2026-03-20 15:51:00 status unpacked mawk:armhf 1.3.4.20200120-3.1
2026-03-20 15:51:00 status half-installed mawk:armhf 1.3.4.20200120-3.1
2026-03-20 15:51:00 status unpacked mawk:armhf 1.3.4.20200120-3.1
2026-03-20 15:51:00 install mount:armhf <none> 2.38.1-5+deb12u3
2026-03-20 15:51:00 status half-installed mount:armhf 2.38.1-5+deb12u3
2026-03-20 15:51:01 status unpacked mount:armhf 2.38.1-5+deb12u3
2026-03-20 15:51:01 install ncurses-base:all <none> 6.4-4
2026-03-20 15:51:01 status half-installed ncurses-base:all 6.4-4
2026-03-20 15:51:01 status unpacked ncurses-base:all 6.4-4
2026-03-20 15:51:01 install ncurses-bin:armhf <none> 6.4-4
2026-03-20 15:51:01 status half-installed ncurses-bin:armhf 6.4-4
2026-03-20 15:51:02 status unpacked ncurses-bin:armhf 6.4-4
2026-03-20 15:51:02 install passwd:armhf <none> 1:4.13+dfsg1-1+deb12u2
2026-03-20 15:51:02 status half-installed passwd:armhf 1:4.13+dfsg1-1+deb12u2
2026-03-20 15:51:03 status unpacked passwd:armhf 1:4.13+dfsg1-1+deb12u2
2026-03-20 15:51:03 upgrade perl-base:armhf 5.36.0-7+deb12u3 5.36.0-7+deb12u3
2026-03-20 15:51:03 status half-configured perl-base:armhf 5.36.0-7+deb12u3
2026-03-20 15:51:03 status unpacked perl-base:armhf 5.36.0-7+deb12u3
